chars,trim_by,url,title,current_description
203,43,https://patrickbrookslaw.com/robbery/,Robbery,"Charged with robbery or aggravated robbery in Memphis or Shelby County? Brooks Law Firm explains Tennessee's robbery laws, felony penalties, the 85% rule, enhancements, and defenses. Call (901) 324-5000."
201,41,https://patrickbrookslaw.com/probation-violation/,Probation Violation,"Memphis probation violation defense from Brooks Law Firm. Hearing procedure under T.C.A. § 40-35-311, technical violation caps, Dagnan two-step inquiry, and key Tennessee case law. Call (901) 324-5000."
201,41,https://patrickbrookslaw.com/habitual-motor-vehicle-offender/,Habitual Motor Vehicle Offender (HMVO) Removal in Tennessee,Still carrying a Habitual Motor Vehicle Offender designation? The HMVO law was repealed — Brooks Law Firm helps Memphis drivers remove the designation and reinstate their licenses. Call (901) 324-5000.
199,39,https://patrickbrookslaw.com/burglary/,Burglary,"Charged with burglary or aggravated burglary in Memphis? Brooks Law Firm explains Tennessee's burglary tiers, felony penalties, key terms, related trespass charges, and defenses. Call (901) 324-5000."
199,39,https://patrickbrookslaw.com/criminal-defense-2/,Memphis Criminal Defense Attorney,"Criminal defense across Memphis, Shelby County, and the West Tennessee counties — misdemeanors through felonies, first appearance through trial. Flat fees quoted before you hire. Call (901) 324-5000."
199,39,https://patrickbrookslaw.com/shelby-county-drug-court/,Shelby County Drug Court (General Sessions Division 8),Shelby County Drug Court in General Sessions Division 8 can end an eligible drug case in dismissal and expungement. Brooks Law Firm evaluates every Memphis drug charge for Drug Court. (901) 324-5000.
196,36,https://patrickbrookslaw.com/beth-brooks-profile/,Beth Brooks,"Beth Brooks is a Memphis attorney handling family law, juvenile matters, estate planning, Social Security disability, civil rights, personal injury, and workers' compensation. Call (901) 324-5000."
193,33,https://patrickbrookslaw.com/personal-injury/,Personal Injury — Motor Vehicle Accidents,"Injured in a Tennessee car, truck, or motorcycle accident? Brooks Law Firm handles motor vehicle personal injury cases in Memphis on contingency — no fee unless we recover. Call (901) 324-5000."
193,33,https://patrickbrookslaw.com/drug-offense/,Memphis Drug Charge Lawyer — Drug Crime Defense in Shelby County,"Facing drug charges in Memphis? Suppression-first defense — unlawful stops and searches, drug-free zone enhancements, fentanyl weight, forfeiture, Drug Court. Free consultation: (901) 324-5000."
193,33,https://patrickbrookslaw.com/dui-breath-blood-tests/,DUI Breath & Blood Test Defense in Memphis | Challenging the Evidence | Brooks Law Firm,"Breathalyzer or blood test in a Memphis DUI? These results can be challenged — calibration, the 20-minute observation rule, chain of custody, and more. NCDD & TACDL member. Call (901) 324-5000."
192,32,https://patrickbrookslaw.com/heroin/,Memphis Heroin Charge Lawyer | Tennessee Heroin Defense | Brooks Law Firm,Charged with heroin possession or delivery in Memphis? Brooks Law Firm defends Schedule I charges and pursues treatment-based resolutions where the evidence supports them. Call (901) 324-5000.
192,32,https://patrickbrookslaw.com/cdl-defense-2/,Memphis CDL &amp; Truck Driver Ticket Defense,CDL ticket in Memphis or Shelby County? We've handled thousands of tickets and defend hundreds every year. We appear in court for you — no time off the road. Free consultation: (901) 324-5000.
191,31,https://patrickbrookslaw.com/aggravated-domestic-assault-memphis/,Aggravated Domestic Assault in Memphis: When a Misdemeanor Argument Becomes a Felony Charge,"Strangulation, serious injury, or a weapon turns a Memphis domestic assault into a 3-15 year felony — often with no visible injury. How the charge works and how it's defended. (901) 324-5000."
189,29,https://patrickbrookslaw.com/business-litigation-2/,Business Litigation,"Contract, partnership, LLC, non-compete, and commercial disputes in Memphis and Shelby County. Matters accepted on a limited basis; email first, paid in-person consultation. (901) 324-5000."
189,29,https://patrickbrookslaw.com/high-income-divorce/,High-Income & High-Asset Divorce in Tennessee,"High-income and high-asset divorce in Memphis and Shelby County — business valuation, RSUs, executive comp, hidden income, tax-aware property division. Brooks Law Firm. Call (901) 324-5000."
187,27,https://patrickbrookslaw.com/felony-dui/,"Felony & Repeat DUI Defense in Memphis | 2nd, 3rd, 4th Offense | Brooks Law Firm","Facing a 2nd, 3rd, or felony DUI in Memphis? Mandatory jail minimums, the 10-year lookback, and challenging prior convictions — Brooks Law Firm explains your options. Call (901) 324-5000."
186,26,https://patrickbrookslaw.com/germantown-drug-charge-lawyer/,Drug Charges in Germantown: Why Where Your Case Is Heard May Matter as Much as What You're Charged With,"Drug charge in Germantown TN? Your case can resolve locally, through diversion, or via Shelby County Drug Court transfer — the choice shapes your record. Brooks Law Firm: (901) 324-5000."
185,25,https://patrickbrookslaw.com/cocaine/,Memphis Cocaine Charge Lawyer | Possession & Sale Defense | Brooks Law Firm,Charged with cocaine possession or sale in Memphis? Brooks Law Firm explains Tennessee's 0.5-gram felony threshold and defends Schedule II charges in Shelby County. Call (901) 324-5000.
185,25,https://patrickbrookslaw.com/haywood-county-criminal-defense/,Haywood County Criminal Court Defense,"Criminal defense in Haywood County, TN — DUI, drug, domestic assault & theft charges in General Sessions & Circuit Court in Brownsville. I-40 stops & BlueOval City area. (901) 324-5000."
185,25,https://patrickbrookslaw.com/collierville-drug-charge-lawyer/,"Drug Charges in Collierville: The State-Line Problem, the Drug Court Door, and Protecting a Record Worth Protecting","Drug charge in Collierville TN? Suppression, diversion, and the Drug Court transfer Collierville cases qualify for — plus the Hwy 72 state-line wrinkle. Brooks Law Firm: (901) 324-5000."
184,24,https://patrickbrookslaw.com/first-dui-memphis/,First DUI in Memphis: What Happens Next and What to Do,"Arrested for your first DUI in Memphis? Step-by-step: booking at 201 Poplar, your arraignment, penalties, and the three ways a first DUI can resolve. Free consultation: (901) 324-5000."
183,23,https://patrickbrookslaw.com/assault/,"Assault Charges in Memphis, Tennessee",Charged with assault in Memphis? Brooks Law Firm defends simple and aggravated assault charges in Shelby County and explains when a case becomes domestic assault. Call (901) 324-5000.
183,23,https://patrickbrookslaw.com/bartlett-drug-charge-lawyer/,"Drug Charges in Bartlett: The One-Building Court, the Transfer Option Nobody Mentions, and How to Keep Your Record Clean","Drug charge in Bartlett TN? The Shelby County Drug Court accepts Bartlett transfers, and diversion and suppression come first. Every option explained. Brooks Law Firm: (901) 324-5000."
180,20,https://patrickbrookslaw.com/minor-in-possession-suburbs/,"Minor in Possession of Alcohol in Germantown, Bartlett & Collierville: What Parents Need to Know","Your teen or college student cited for minor in possession in Germantown, Bartlett, or Collierville? Dismissal-then-expungement is the goal. What parents should do. (901) 412-2973."
179,19,https://patrickbrookslaw.com/bartlett-domestic-assault-lawyer/,"Domestic Assault Charges in Bartlett: The 12-Hour Hold, the One-Building Court, and the Strategy That Protects Your Record","Domestic assault charge in Bartlett TN? The 12-hour hold, no-contact conditions, and why dismissal-then-expungement is the only goal worth having. Brooks Law Firm: (901) 324-5000."
178,18,https://patrickbrookslaw.com/cdl-ticket-memphis-what-to-do/,CDL Ticket in Memphis? Why You Can't Take Driving School — and What Actually Works,"Federal law bars driving school and diversion for CDL tickets in Memphis. What works instead: dismissal, a real reduction below 15-over before judgment, or trial. (901) 324-5000."
175,15,https://patrickbrookslaw.com/tipton-county-criminal-defense/,Tipton County Criminal Court Defense,"Criminal defense in Tipton County, TN — DUI, domestic assault, drug & theft charges in General Sessions & Circuit Court in Covington. Atoka, Munford, Brighton. (901) 324-5000."
175,15,https://patrickbrookslaw.com/collierville-domestic-assault-lawyer/,Domestic Assault Charges in Collierville: What a Quiet Town's Loudest Charge Really Costs — and How the Defense Works,"Domestic assault charge in Collierville TN? The 12-hour hold, no-contact conditions, custody fallout, and the dismissal-then-expunge strategy. Brooks Law Firm: (901) 324-5000."
